mes,fazni_cop_kwh,contrib_4pct_de,comision_representante_cop_kwh,fuente
2025-04,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012 (rep. tipico ASOCODIS 2024)
2025-05,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012
2025-06,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012
2025-07,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012 (rep. tipico ASOCODIS 2024)
2025-08,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012
2025-09,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012
2025-10,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012
2025-11,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012
2025-12,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012
2026-01,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012
2026-02,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012
2026-03,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012
2026-04,1.90,Gm,2.00,Ley 1715/2014 art.19 + Ley 2099/2021 art.45 + CREG 156/2012
