hour,kwh_p2p,B_p2p_COP,B_c4_COP,delta_COP,GDR,classification,active
0,0.9399999400338972,2575.514998085331,2129.7343359008823,445.7806621844488,1.0,P2P_dom,True
1,0.819999943655214,2336.35419023462,2014.7175636940349,321.6366265405852,1.0,P2P_dom,True
2,0.8199999436594541,2320.027013542139,1977.522980303312,342.5040332388269,1.0,P2P_dom,True
3,0.819999943669025,2302.458075025161,1937.4995665034528,364.9585085217084,1.0,P2P_dom,True
4,0.9399999400248266,2562.5218213279786,2065.553158917068,496.9686624109109,1.0,P2P_dom,True
5,1.392088421217935,3384.2524396673302,1881.6432545378143,1502.6091851295157,0.9280589474786232,P2P_dom,True
6,1.4179031624792646,6870.224743803552,5104.928933738334,1765.2958100652177,1.0,P2P_dom,True
7,1.4969623809001236,8354.86767644098,6437.372123161054,1917.495553279925,1.0,P2P_dom,True
8,1.8231226561667635,8607.902787699844,6340.62923933096,2267.273548368885,1.0,P2P_dom,True
9,2.2379505890743303,8651.820672046202,6262.035170012237,2389.785502033965,0.925556802516507,P2P_dom,True
10,3.43946160398112,10363.711229015444,7062.450871096527,3301.260357918918,1.0,P2P_dom,True
11,4.103018210505596,11321.20210484654,7423.22672349153,3897.9753813550096,1.0,P2P_dom,True
12,3.679416446228193,10762.393719577249,7538.82552518707,3223.568194390179,1.0,P2P_dom,True
13,4.276429554510736,11174.177568832458,7239.926079286227,3934.251489546231,1.0,P2P_dom,True
14,4.3507451432573365,11257.18993672469,7315.40423337007,3941.78570335462,1.0,P2P_dom,True
15,3.358229955435889,10335.638683866504,7006.18282955807,3329.455854308434,1.0,P2P_dom,True
16,2.020003288577614,9008.663917878615,6471.778363185838,2536.885554692777,1.0,P2P_dom,True
17,0.5727326822713928,7772.973183526135,7073.640382244772,699.3328012813636,1.0,P2P_dom,True
18,0.6446942833678979,5006.507333792262,4336.229776190271,670.2775576019912,1.0,P2P_dom,True
19,0.8776155650537368,3496.971281901047,2600.048174416128,896.923107484919,0.9999999999999782,P2P_dom,True
20,0.7395662405436276,3340.147249258523,2584.3105514229355,755.8366978355875,0.9999999999885888,P2P_dom,True
21,1.5412271531572563,4433.296010910188,2630.099902764372,1803.196108145816,1.0,P2P_dom,True
22,1.0831384344944404,3310.6920801812776,2114.9279891115334,1195.7640910697442,0.9026153620787004,P2P_dom,True
23,1.0599999359965653,2955.850968814908,2260.214887828346,695.6360809865619,1.0,P2P_dom,True
